"Tanggal","Lokasi","Merk","Model","Penyimpanan","IMEI","Catatan","Stok Pagi","Masuk","Tambah Stok","Return","Terjual","Penyesuaian","Stok Malam"
"2025-10-19","MBUTOH","XIAOMI","POCO C71","4/128GB","864304074164683","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","XIAOMI","POCO C71","4/128GB","864304074409245","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","XIAOMI","POCO C71","4/128GB","864304074164386","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","XIAOMI","POCO C71","4/128GB","864304073981624","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","XIAOMI","Redmi Note 14","8/128GB","865623074555247","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","XIAOMI","POCO X7","12/512GB","862769070163028","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","XIAOMI","Redmi Note 14","8/256GB","868970070347888","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","XIAOMI","Redmi Note 14","8/128GB","868970070989368","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","XIAOMI","POCO M7","8/128GB","866694076653206","","1","0","0","0","0","0","1"
"2025-10-19","SOKO","XIAOMI","POCO C71","4/128GB","862738072466008","","1","0","0","0","0","0","1"
"2025-10-19","SOKO","XIAOMI","Redmi 13","8/128GB","867098074338084","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","INFINIX","HOT 60I","6/128GB","350835903473507","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","INFINIX","HOT 60I","8/256GB","350835902182281","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","INFINIX","HOT 60 PRO","8/256GB","350348880980957","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","INFINIX","Smart 10","4/128GB","358584693983513","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","INFINIX","Smart 10","4/64GB","358584694842932","","1","0","0","0","0","0","1"
"2025-10-19","SOKO","INFINIX","Smart 10","4/64GB","358584694830960","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","INFINIX","HOT 60 PRO+","8/256GB","357650521381682","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","INFINIX","Smart 10","4/128GB","358584693477607","","1","0","0","0","0","0","1"
"2025-10-19","SOKO","INFINIX","Smart 10","4/64GB","358584694830838","","1","0","0","0","0","0","1"
"2025-10-19","SOKO","INFINIX","HOT 60I","6/128GB","350835901577101","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","TECNO","Pova 7","8/128GB","350300200761039","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","TECNO","Pova 7","8/256GB","350300200648954","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","ITEL","A90","4/64GB","355472870890631","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","ITEL","A90","4/64GB","355472870889047","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","ZTE","NUBIA A36","4/64GB","865326070707347","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","ZTE","NUBIA A36","4/64GB","865326070283745","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","ITEL","A90","4/64GB","35547287123491","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","ZTE","NUBIA A36","4/64GB","865326070381275","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","ZTE","NUBIA A36","4/64GB","865326070347185","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","ZTE","NUBIA A36","4/64GB","865326070283802","","1","0","0","0","0","0","1"
"2025-10-19","SOKO","NOKIA","105","N/A","358885810653289","","1","0","0","0","0","0","1"
"2025-10-19","SOKO","OPPO","A5I","4/64GB","866982077882936","","0","0","0","0","0","0","0"
"2025-10-19","SOKO","OPPO","A5I","4/128GB","866982077882936","","0","0","0","0","1","0","0"
